驚きの「リアル進化論」,Audible,2025/01/11,2025/01/16,3
頼朝と義時 武家政権の誕生,Audible,2025/01/16,中止,3
イギリス帝国盛衰史 グローバルヒストリーから読み解く,Audible,2025/01/17,2025/01/20,4
ドイツ誕生 神聖ローマ帝国初代皇帝オットー１世,Audible,2025/01/21,2025/01/23,4
ローマ帝国の誕生,Audible,2025/01/24,2025/01/25,3
ユーゴスラヴィア現代史 新版,Audible,2025/01/26,2025/01/28,4
この一冊で聖書がわかる！,Audible,2025/01/29,2025/01/30,2
火を吹く朝鮮半島,Audible,2025/02/01,2025/02/03,3
禁断の中国史,Audible,2025/02/03,2025/02/05,3
昭和16年の終戦,BOOKOFF,2025/02/04,中止,1
"トランプVS,ハリス アメリカ大統領選の知られざる内幕",Audible,2025/02/05,中止,1
壬生義士伝（上）,Audible,2025/02/10,2025/02/16,5
それでも、日本人は「戦争」を選んだ,BOOKOFF,2025/02/09,2025/02/19,3
壬生義士伝（下）,Audible,2025/02/16,2025/02/21,5
ローマ人の物語1 ローマは1日にして成らず（上）,BOOKOFF,2025/02/19,2025/02/22,5
王とサーカス,Audible,2025/02/21,2025/02/27,4
ローマ人の物語2 ローマは1日にして成らず（下）,BOOKOFF,2025/02/22,2025/02/26,5
ローマ人の物語3 ハンニバル戦記（上）,BOOKOFF,2025/02/26,2025/02/28,5
官僚生態図鑑,Audible,2025/02/27,中止,2
氷菓,Audible,2025/02/28,2025/03/01,4
教養としての歴史小説,箕面図書館,2025/02/28,2025/02/28,2
ローマ人の物語4 ハンニバル戦記（中）,BOOKOFF,2025/03/01,2025/03/12,4
愚者のエンドロール,Audible,2025/03/02,2025/03/07,3
クドリャフカの順番,Audible,2025/03/07,中止,2
黒牢城,Audible,2025/03/08,2025/03/15,3
教養の人類史 ヒトは何を考えてきたか？,Audible,2025/03/15,2025/03/21,2
ローマ人の物語5 ハンニバル戦記（下）,BOOKOFF,2025/03/13,2025/03/16,4
ローマ人の物語6 勝者の混迷（上）,BOOKOFF,2025/03/16,2025/03/20,4
ローマ人の物語7 勝者の混迷（下）,BOOKOFF,2025/03/20,2025/03/24,3
昭和史1「日露戦争に勝った意味」,Audible,2025/03/21,2025/03/21,5
昭和史2「張作霖爆殺と統帥権干犯」,Audible,2025/03/21,2025/03/22,5
昭和史3「関東軍の野望、満州国の建国」,Audible,2025/03/22,2025/03/22,5
昭和史4「五・一五事件から国際連盟脱退まで」,Audible,2025/03/23,2025/03/23,5
昭和史5「陸軍の派閥争い、天皇機関説」,Audible,2025/03/23,2025/03/23,5
昭和史6「[二・二六事件]大股で戦時体制へ」,Audible,2025/03/24,2025/03/24,5
昭和史7「[日中戦争]盧溝橋事件」,Audible,2025/03/24,2025/03/24,5
昭和史8「国家総動員法、ノモンハンの悲劇」,Audible,2025/03/25,2025/03/25,5
昭和史9「米英との対立、ドイツへの接近」,Audible,2025/03/25,2025/03/25,5
昭和史10「ひた走る軍事国家への道」,Audible,2025/03/25,2025/03/26,5
ローマ人の物語8 ユリウス・カエサル_ルビコン以前（上）,BOOKOFF,2025/03/25,2025/04/01,3
昭和史11「ドイツのソ連進攻」,Audible,2025/03/26,2025/03/26,5
昭和史12「太平洋戦争開戦前夜~運命の御前会議」,Audible,2025/03/26,2025/03/26,5
昭和史13「太平洋戦争開戦前夜(2)」~「ニイタカヤマノボレ 一二〇八」,Audible,2025/03/26,2025/03/26,5
昭和史14「真珠湾攻撃からミッドウェーへ」,Audible,2025/03/26,2025/03/26,5
昭和史15「ガタルカナル・インパール・サイパンの悲劇から特攻隊出撃へ」,Audible,2025/03/26,2025/03/26,5
昭和史16「ヤルタ会談、東京大空襲、沖縄戦、そしてドイツ降伏」,Audible,2025/03/26,2025/03/27,5
昭和史17「ポツダム宣言受諾、終戦」,Audible,2025/03/27,2025/03/27,5
昭和史18「[むすび] 昭和史二十年の教訓」,Audible,2025/03/27,2025/03/27,5
真実の10メートル手前,Audible,2025/03/28,2025/04/04,3
テロルの昭和史,Audible,2025/03/28,2025/04/01,3
ローマ人の物語9 ユリウス・カエサル_ルビコン以前（中）,BOOKOFF,2025/04/01,2025/04/07,4
幕末史1〜9,Audible,2025/04/04,2025/04/05,3
戦争の近現代史 日本人は戦いをやめられるか,Audible,2025/04/06,2025/04/08,3
ローマ人の物語10 ユリウス・カエサル_ルビコン以前（下）,BOOKOFF,2025/04/06,2025/04/12,4
ロッキード,Audible,2025/04/08,2025/04/16,2
ローマ人の物語11 ユリウス・カエサル_ルビコン以後（上）,BOOKOFF,2025/04/13,2025/04/20,4
日本史 敗者の条件,Audible,2025/04/16,2025/04/17,2
地中海世界の歴史1 神々のささやく世界 オリエントの文明,Audible,2025/04/19,2025/04/24,3
ローマ人の物語12 ユリウス・カエサル_ルビコン以後（中）,BOOKOFF,2025/04/21,2025/04/25,2
地中海世界の歴史2 沈黙する神々の帝国 アッシリアとペルシア,Audible,2025/04/24,2025/05/01,3
ローマ人の物語13 ユリウス・カエサル_ルビコン以後（下）,BOOKOFF,2025/04/26,2025/05/05,4
地中海世界の歴史3 白熱する人間たちの都市 エーゲ海とギリシアの文明,Audible,2025/05/04,2025/05/08,4
