2026-08-02,日,B,鮭のちゃんちゃん焼き,ブロッコリーの卵マヨサラダ,納豆とオクラ,
2026-08-03,月,C,天津飯,焼餃子,ほうれん草とえのきのお浸し,
2026-08-08,土,A,ベータマスパ,ポテサラ,コーンクリームスープ,
2026-08-09,日,B,カレイのかりっと焼ききのこソース,厚揚げとちくわの煮物,わかめときゅうりの酢の物,
2026-08-10,月,B,広島焼き,小松菜とえのきのおひたし,カニカマの春雨サラダ,
2026-08-15,土,A,マカロニグラタン,ポテサラ,大豆のカレースープ,
2026-08-16,日,B,焼ほっけ,さつまいもと大根のそぼろ煮,卵焼き,
2026-08-17,月,C,あんかけ焼そば,ほうれん草のおひたし,中華風卵スープ,
2026-08-22,土,A,ジャーマンオムレツ,マカサラ,かぼちゃのポタージュスープ,
2026-08-23,日,B,焼き鮭,ちくわと大根とにんじんとしいたけの煮物,きゅうりとわかめとカニカマの酢の物,
2026-08-24,月,C,冷やし中華,,,
2026-08-29,土,A,ハンバーグ,マカサラ（まゆみ）,コーンクリームスープ,
2026-08-30,日,B,ぶりの照焼き,肉豆腐,きゅうりと長芋のポン酢和え,
2026-08-31,月,C,もやしの青椒肉絲,コールスローサラダ,レタスと卵の中華スープ,
2026-09-05,土,A,キーマカレーライス,ポテサラ,,
2026-09-06,日,B,あじの干物,海老シューマイ,ちくわと大根とにんじんの煮物,
2026-09-07,月,C,八宝菜,もやしとニラのナムル,レタスと卵の中華スープ,
2026-09-12,土,A,豚こましょうが焼き,マカサラ,大豆スープ,
2026-09-13,日,B,さばの塩焼き,納豆オムレツ,ほうれん草ときのこの和風炒め,
2026-09-14,月,C,鶏胸とサツマイモのオイスター甘酢炒め,小松菜の卵とじ,コールスローサラダ,キムチ冷奴
